round,snapshot,dataset,queryId,denseDepth,sparseDepth,denseFullDepth,sparseFullDepth,denseReadRatio,sparseReadRatio,denseExhausted,sparseExhausted,orderedMismatch,source_sha256
1,R1,trec-covid-chrono-r1,28,112,96,51045,11677,0.0021941424233519,0.008221289714824,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
1,R1,trec-covid-chrono-r1,29,112,96,51045,39110,0.0021941424233519,0.0024546151879313999,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
1,R1,trec-covid-chrono-r1,30,368,352,51045,16925,0.0072093251052991998,0.0207976366322008,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,1,7792,7776,59851,10572,0.1301899717632119,0.73552780930760497,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,2,19568,19552,59851,19627,0.32694524736428798,0.99617873337749019,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,3,1248,1248,59851,38956,0.020851781925113999,0.0320361433412054,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,4,960,944,59851,35949,0.016039832250087701,0.026259423071573602,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,5,176,160,59851,43245,0.0029406359125159999,0.0036998496936060999,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,6,1088,1088,59851,38813,0.018178476550099399,0.028031845000386399,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,7,176,160,59851,25039,0.0029406359125159999,0.0063900315507806997,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,8,2160,2144,59851,31245,0.0360896225626973,0.068618979036645794,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,9,1088,1088,59851,24785,0.018178476550099399,0.043897518660480098,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,10,112,96,59851,28329,0.0018713137625102,0.0033887535740759998,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,11,2464,2464,59851,33993,0.0411689027752251,0.0724855117230018,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,12,5232,5216,59851,10600,0.087417085762978006,0.49207547169811322,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,13,1888,1872,59851,16487,0.031545003425172503,0.11354400436707709,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,14,640,624,59851,17113,0.0106932215000584,0.036463507275170899,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,15,18544,18528,59851,26407,0.3098360929641944,0.70163214299238841,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,16,8816,8800,59851,22312,0.14729912616330551,0.39440659734671918,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,17,368,352,59851,23816,0.0061486023625335999,0.014779979845482001,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,18,1248,1248,59851,32451,0.020851781925113999,0.0384579828048442,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,19,2816,2816,59851,19599,0.047050174600257302,0.1436808000408184,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,20,176,160,59851,27642,0.0029406359125159999,0.0057882931770494002,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,21,320,304,59851,22282,0.0053466107500292001,0.0136432995242796,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,22,272,272,59851,21066,0.0045446191375248003,0.0129118010063609,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,23,208,192,59851,22781,0.0034752969875189998,0.0084280760282691002,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,24,320,304,59851,22864,0.0053466107500292001,0.013296011196641,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,25,416,416,59851,40593,0.0069505939750379997,0.010248072327741199,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,26,1088,1088,59851,13683,0.018178476550099399,0.079514726302711294,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,27,368,352,59851,34525,0.0061486023625335999,0.0101955104996379,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,28,112,96,59851,16210,0.0018713137625102,0.0059222702035780003,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,29,112,96,59851,45037,0.0018713137625102,0.002131580700313,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
2,R2,trec-covid-chrono-r2,30,176,160,59851,21840,0.0029406359125159999,0.0073260073260073,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,1,19568,19552,128162,32451,0.15268176214478549,0.60250839727589289,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,2,4208,4192,128162,41264,0.032833445170955503,0.10158976347421481,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,3,6256,6240,128162,72108,0.048813220767466102,0.086536861374604701,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,4,6768,6752,128162,79899,0.052808164666593799,0.084506689695740794,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,5,480,480,128162,89678,0.0037452599054320999,0.0053524833292446002,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,6,5744,5728,128162,85031,0.044818276868338502,0.067363667368371502,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,7,736,720,128162,48030,0.0057427318549960003,0.014990630855715101,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,8,10864,10848,128162,72045,0.084767715859615095,0.15057255881740569,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,9,1248,1248,128162,58802,0.0097376757541235998,0.021223767899051001,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,10,208,192,128162,68130,0.0016229459590205999,0.0028181417877585998,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,11,2160,2144,128162,75186,0.016853669574444799,0.0285159471178144,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,12,11376,11360,128162,27408,0.088762659758742798,0.41447752481027439,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,13,832,832,128162,32620,0.0064917838360823996,0.025505824647455499,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,14,1440,1424,128162,46687,0.011235779716296501,0.030500995994602299,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,15,55792,55785,128162,55785,0.43532404300806787,1,False,True,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,16,22128,22112,128162,46504,0.1726564816404238,0.47548597970067091,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,17,7792,7776,128162,54690,0.060798052464849102,0.14218321448162369,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,18,960,944,128162,66755,0.0074905198108643004,0.0141412628267545,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,19,736,720,128162,49659,0.0057427318549960003,0.014498882377816699,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,20,112,96,128162,73393,0.00087389397793409995,0.001308026651043,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,21,736,720,128162,46400,0.0057427318549960003,0.0155172413793103,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,22,320,304,128162,62634,0.0024968399369546999,0.0048535938946896997,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,23,1088,1088,128162,60754,0.0084892557856462002,0.017908285874181099,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,24,208,192,128162,60898,0.0016229459590205999,0.0031528129002594001,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,25,368,352,128162,81157,0.0028713659274980001,0.0043372722007959004,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,26,7280,7264,128162,39976,0.056803108565721502,0.18170902541524911,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,27,2816,2816,128162,71232,0.021972191445202099,0.039532794249775301,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,28,320,304,128162,47557,0.0024968399369546999,0.0063923292049540004,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,29,144,128,128162,90741,0.0011235779716296001,0.0014106082145886999,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
3,R3,trec-covid-chrono-r3,30,112,96,128162,58176,0.00087389397793409995,0.0016501650165016001,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,1,6768,6752,157817,58079,0.0428851137710132,0.1162554451695104,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,2,5232,5216,157817,52114,0.033152321993194601,0.1000882680277852,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,3,7280,7264,157817,84647,0.0461293776969528,0.085815209044620602,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,4,5232,5216,157817,105544,0.033152321993194601,0.049420147047676798,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,5,640,624,157817,104419,0.0040553299074244003,0.0059759239218915997,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,6,21104,21088,157817,110925,0.13372450369732031,0.19011043497858909,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,7,368,352,157817,57907,0.0023318146967689999,0.0060787124181876998,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,8,7280,7264,157817,98407,0.0461293776969528,0.073815887081203499,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,9,2464,2464,157817,84877,0.015613020143584001,0.029030243764506199,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,10,272,272,157817,94308,0.0017235152106553,0.0028841667727022,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,11,144,128,157817,90660,0.00091244922917039996,0.0014118685197439999,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,12,28784,28768,157817,35507,0.18238846258641339,0.81020643816712201,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,13,272,272,157817,42072,0.0017235152106553,0.0064651074348735004,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,14,272,272,157817,72693,0.0017235152106553,0.0037417633059579,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,15,48752,48736,157817,68114,0.30891475569805532,0.71550635698975251,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,16,9328,9312,157817,57205,0.059106433400710902,0.162782973516301,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,17,4208,4192,157817,66546,0.026663794141315499,0.062994019174706206,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,18,4720,4704,157817,91842,0.029908058067255099,0.051218396811916103,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,19,320,304,157817,75634,0.0020276649537122001,0.0040193563741174002,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,20,240,224,157817,99931,0.0015207487152840999,0.0022415466672002999,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,21,736,720,157817,53848,0.0046636293935379998,0.013370970138166601,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,22,176,160,157817,88935,0.0011152157245417,0.0017990667341315999,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,23,2464,2464,157817,86690,0.015613020143584001,0.028423116853154899,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
