dataset,baseline,measured_queries,measured_observations,dynamic_p50_ms,dynamic_p95_ms,dynamic_p99_ms,baseline_p50_ms,baseline_p95_ms,baseline_p99_ms,paired_ratio,paired_ratio_ci95_low,paired_ratio_ci95_high,paired_win_rate,dense_pull_ratio_median,sparse_pull_ratio_median,source_sha256
nfcorpus,same-producer,323,1615,1.58,4.6784330999999995,6.402371619999995,4.002917,5.8264375,7.777345379999994,0.4233400233181907,0.403319033214696,0.44474429410810196,0.9325077399380804,0.057252958987063035,1.0,f9a7b1e3c132fb03b934b60458ff54c5591c82f50d6453b3d8aa5ae922f51934
nfcorpus,native-bulk,323,1615,1.689292,4.799629199999999,7.0127813799999945,3.30575,6.156504399999998,9.916206119999996,0.5252297592100054,0.5008019142210035,0.5520674870731586,0.8445820433436533,0.057252958987063035,1.0,b562825c1b4bca1005fa4039a30710e8e5f48f2f4fc5363a0846815da5bd3578
scifact,same-producer,300,1500,1.5698955,5.68559825,6.979923,5.9948125,7.28498305,10.13516625,0.30757141101342494,0.29225189574012933,0.32466410021598113,0.9653333333333334,0.040131198147790856,0.07781682525951557,6d2e8b5221f7864a787eb097a3ea61b3b504859719714b174e16a065e95a6342
scifact,native-bulk,300,1500,1.511396,5.613997899999999,6.91411166,4.849333,5.59308155,6.60893434,0.3706535868405507,0.3519290002708438,0.3914010097117019,0.9246666666666666,0.040131198147790856,0.07781682525951557,cc023d27c2b82fa43ad6ea4082cfd095f44fc48d7184cb0695e2a5eb5ff15ed6
trec-covid,same-producer,50,250,14.9579585,133.3258644,531.94396,290.5859375,339.13041525,413.17998766999995,0.06091070375653826,0.045615558915083065,0.08260784418645403,0.96,0.011813321504447506,0.01950419495808621,93005b3e463dfcedc9485bbf6471b183e51404e0efcf4592edd24ffdc3f3ae88
trec-covid,native-bulk,50,250,14.980375,129.1234769,528.55803125,221.891125,251.8007705,260.75416615999995,0.07863780164064196,0.058954180795077075,0.10648383083866662,0.96,0.011813321504447506,0.01950419495808621,49e14874534e3dc59bfab273cc1bde1d1821b7df0dd53792cc7d5d1a73dc0b9a
msmarco-passage-trec-dl-2019,native-bulk,43,215,928.564875,16665.127841099984,504213.6667724997,19787.930167,23962.8766832,25861.66378,0.04282983665630838,0.030119868593964816,0.06806496629392388,0.9534883720930233,2.3524560489392288e-05,0.0003405487091075495,6ba15e65f9ae747da5ad63f74cebd697601d5438de897a2b00e9e0358f853034
msmarco-passage-trec-dl-2020,native-bulk,54,270,923.1960205,6747.927531099994,14218.561501020004,19403.677542,23952.492575,30029.842991270005,0.03302077767222954,0.028632467482428113,0.03894139271450259,0.9925925925925926,3.076288679382069e-05,0.00033717836454547404,956824cb34a1c332650c1b73fa6ee0292351c84fffd7557620b943709ee4cc69
