dataset,query_id,dynamic_median_ms,native_bulk_median_ms,paired_ratio,dynamic_wins,measured_repetitions,source_sha256
msmarco-passage-trec-dl-2019,443396,98444.959291,20970.803959,4.694381745376556,0,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,451602,219.326375,19005.529458,0.011540134963600233,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,47923,917.6135,17706.07775,0.05182477525266713,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,489204,234.571,20725.760875,0.01131784745634821,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,490595,224.371375,19787.930167,0.011338799617060526,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,527433,258.869583,20830.239,0.01242758582846793,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,573724,1040.826,19883.313375,0.05234670803452043,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,833860,245.720459,20352.73025,0.012073095647695719,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,855410,507271.231125,19813.027083,25.60291413320933,0,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,87181,222.722541,20267.984625,0.010988884446126819,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,87452,1084.019,20748.09475,0.052246676770164646,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,915593,259.610958,21370.937833,0.012147850507483154,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2019,962179,1233.187334,19830.578042,0.06218615167889618,1,5,3679debddf2f37bc8cc4fd79d990cd94ce3a70122e7a68376d754b9ead8377ba
msmarco-passage-trec-dl-2020,1030303,207.999584,17907.943041,0.011614934418977528,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1037496,1018.975666,18154.155542,0.05612905891670805,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1043135,235.356833,18310.949667,0.012853338427561742,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1051399,2510.352416,18305.3505,0.13713763175416938,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1064670,250.644708,18258.014958,0.013727927629404016,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1071750,983.872625,19439.804,0.050611242016637616,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1105792,2565.944958,18605.831875,0.13791078922129624,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1106979,1001.205292,17867.651291,0.056034521588425604,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1108651,244.061958,19365.261167,0.012603081151102763,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1109707,894.415958,18912.777291,0.04729162429389071,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1110678,227.535208,17736.889708,0.012828360087133717,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
